Macro-Area;Argomento Principale;Domanda Specifica
Apparato Cardiovascolare;Ciclo Cardiaco;Ciclo cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Ciclo cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Ciclo cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Ciclo cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Ciclo cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Straub
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Straub
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Straub disegnare
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Wiggers
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Wiggers
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Wiggers
Apparato Cardiovascolare;Ciclo Cardiaco;Diagramma di Wiggers disegno
Apparato Cardiovascolare;Ciclo Cardiaco;Fasi del ciclo cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Terzo e quarto tono cardiaco
Apparato Cardiovascolare;Ciclo Cardiaco;Toni cardiaci
Apparato Cardiovascolare;Ciclo Cardiaco;Toni cardiaci
Apparato Cardiovascolare;Ciclo Cardiaco;Toni cardiaci
Apparato Cardiovascolare;Ciclo Cardiaco;Toni cardiaci e quali sono quelli auscoltabili
Apparato Cardiovascolare;Elettrofisiologia;Canali funny
Apparato Cardiovascolare;Elettrofisiologia;Cellule pacemaker
Apparato Cardiovascolare;Elettrofisiologia;Conduzione elettrica nel cuore
Apparato Cardiovascolare;Elettrofisiologia;Corrente funny funzione e canali associati
Apparato Cardiovascolare;Elettrofisiologia;Differenza tra potenziale nel miocardio di conduzione e miocardio di lavoro
Apparato Cardiovascolare;Elettrofisiologia;ECG
Apparato Cardiovascolare;Elettrofisiologia;ECG
Apparato Cardiovascolare;Elettrofisiologia;ECG in particolare la curva QRS
Apparato Cardiovascolare;Elettrofisiologia;Grafico potenziale miocardio di lavoro con spiegazione
Apparato Cardiovascolare;Elettrofisiologia;Nodo atrio-ventricolare frequenza di scarica e perché la frequenza cardiaca è minore di essa
Apparato Cardiovascolare;Elettrofisiologia;Potenziale del miocardio di lavoro e canali coinvolti
Apparato Cardiovascolare;Elettrofisiologia;Potenziale pacemaker
Apparato Cardiovascolare;Elettrofisiologia;Potenziale pacemaker disegno
Apparato Cardiovascolare;Elettrofisiologia;QRS dell'ECG
Apparato Cardiovascolare;Elettrofisiologia;Ruolo del nodo seno-atriale
Apparato Cardiovascolare;Elettrofisiologia;Ruolo del periodo di riposo prima della propagazione dell'impulso al nodo atrio-ventricolare
Apparato Cardiovascolare;Elettrofisiologia;Tessuto di conduzione
Apparato Cardiovascolare;Elettrofisiologia;Triangolo di Einthoven
Apparato Cardiovascolare;Emodinamica;Aneurisma
Apparato Cardiovascolare;Emodinamica;Aorta flusso laminare o turbolento
Apparato Cardiovascolare;Emodinamica;Arteriola flusso laminare o turbolento
Apparato Cardiovascolare;Emodinamica;Emodinamica
Apparato Cardiovascolare;Emodinamica;Emodinamica Bernoulli
Apparato Cardiovascolare;Emodinamica;Fenomeno del plasma skimming
Apparato Cardiovascolare;Emodinamica;Fenomeno del plasma skimming
Apparato Cardiovascolare;Emodinamica;Fenomeno del plasma skimming
Apparato Cardiovascolare;Emodinamica;Flusso aorta
Apparato Cardiovascolare;Emodinamica;Flusso laminare e turbolento
Apparato Cardiovascolare;Emodinamica;Gittata cardiaca
Apparato Cardiovascolare;Emodinamica;Gittata cardiaca e come viene regolata
Apparato Cardiovascolare;Emodinamica;Legge di Frank-Starling
Apparato Cardiovascolare;Emodinamica;Legge di Frank-Starling
Apparato Cardiovascolare;Emodinamica;Legge di Frank-Starling
Apparato Cardiovascolare;Emodinamica;Legge di Frank-Starling
Apparato Cardiovascolare;Emodinamica;Legge di Frank-Starling
Apparato Cardiovascolare;Emodinamica;Legge di Laplace
Apparato Cardiovascolare;Emodinamica;Legge di Laplace
Apparato Cardiovascolare;Emodinamica;Legge di Laplace
Apparato Cardiovascolare;Emodinamica;Legge di Poiseuille
Apparato Cardiovascolare;Emodinamica;Legge di Poiseuille
Apparato Cardiovascolare;Emodinamica;Legge di Poiseuille
Apparato Cardiovascolare;Emodinamica;Legge di Poiseuille
Apparato Cardiovascolare;Emodinamica;Legge di Starling
Apparato Cardiovascolare;Emodinamica;Legge di Starling
Apparato Cardiovascolare;Emodinamica;Legge di Starling
Apparato Cardiovascolare;Emodinamica;Numero di Reynolds
Apparato Cardiovascolare;Emodinamica;Numero di Reynolds
Apparato Cardiovascolare;Emodinamica;Numero di Reynolds
Apparato Cardiovascolare;Emodinamica;Numero di Reynolds
Apparato Cardiovascolare;Emodinamica;Numero di Reynolds
Apparato Cardiovascolare;Emodinamica;Plasma skimming
Apparato Cardiovascolare;Emodinamica;Resistenza
Apparato Cardiovascolare;Emodinamica;Tipi di flusso
Apparato Cardiovascolare;Regolazione e Anatomia;Arterie coronarie
Apparato Cardiovascolare;Regolazione e Anatomia;Azione di adrenalina e noradrenalina a livello cardiaco
Apparato Cardiovascolare;Regolazione e Anatomia;Barocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Barocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Barocettori a cosa sono collegati
Apparato Cardiovascolare;Regolazione e Anatomia;Barocettori cosa sono e dove si trovano
Apparato Cardiovascolare;Regolazione e Anatomia;Barocettori e chemiocettori come regolano la circolazione sistemica
Apparato Cardiovascolare;Regolazione e Anatomia;Barocettori e dove si trovano
Apparato Cardiovascolare;Regolazione e Anatomia;Chemiocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Chemiocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Chemiocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Chemiocettori aortici e carotidei
Apparato Cardiovascolare;Regolazione e Anatomia;Circolazione coronarica
Apparato Cardiovascolare;Regolazione e Anatomia;Controllo estrinseco del cuore
Apparato Cardiovascolare;Regolazione e Anatomia;Flusso coronarico
Apparato Cardiovascolare;Regolazione e Anatomia;Iperemia
Apparato Cardiovascolare;Regolazione e Anatomia;Iperemia
Apparato Cardiovascolare;Regolazione e Anatomia;Iperemia reattiva
Apparato Cardiovascolare;Regolazione e Anatomia;La titina
Apparato Cardiovascolare;Regolazione e Anatomia;Le catecolamine e il loro ruolo nel cardiaco
Apparato Cardiovascolare;Regolazione e Anatomia;Modulazione intrinseca ed estrinseca del cuore
Apparato Cardiovascolare;Regolazione e Anatomia;Piano delle valvole
Apparato Cardiovascolare;Regolazione e Anatomia;Piano delle valvole
Apparato Cardiovascolare;Regolazione e Anatomia;Piano valvolare
Apparato Cardiovascolare;Regolazione e Anatomia;Pressione arteriosa
Apparato Cardiovascolare;Regolazione e Anatomia;Quali sono i controlli locali della vasomotilità
Apparato Cardiovascolare;Regolazione e Anatomia;Regolazione a breve termine
Apparato Cardiovascolare;Regolazione e Anatomia;Regolazione a lungo termine
Apparato Cardiovascolare;Regolazione e Anatomia;Regolazione a lungo termine della pressione
Apparato Cardiovascolare;Regolazione e Anatomia;Regolazione a lungo termine pressione arteriosa
Apparato Cardiovascolare;Regolazione e Anatomia;Regolazione pressione arteriosa
Apparato Cardiovascolare;Regolazione e Anatomia;Regolazione simpatica e parasimpatica del cuore
Apparato Cardiovascolare;Regolazione e Anatomia;Titina
Apparato Cardiovascolare;Regolazione e Anatomia;Volocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Volocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Volocettori
Apparato Cardiovascolare;Regolazione e Anatomia;Volocettori e dove si trovano
Apparato Cardiovascolare;Sangue;Il sangue
Apparato Cardiovascolare;Sangue;Processo di coagulazione
Apparato Cardiovascolare;Sangue;Curva di saturazione dell'emoglobina
Apparato Cardiovascolare;Sangue;Com'è fatta l'emoglobina
Apparato Cardiovascolare;Sangue;Dove avviene il processo emocateretico
Apparato Cardiovascolare;Sangue;Differenza tra emoglobina e mioglobina
Apparato Cardiovascolare;Sangue;Quale ormone stimola l'eritropoietina
Apparato Cardiovascolare;Sangue;Piastrine
Apparato Cardiovascolare;Sangue;Come avviene l'emopoiesi
Apparato Cardiovascolare;Sangue;Differenza tra via estrinseca e intrinseca
Apparato Cardiovascolare;Sangue;Durante l'emopoiesi quando il globulo rosso perde il nucleo
Apparato Cardiovascolare;Sangue;Emivita di globulo
Apparato Cardiovascolare;Sangue;Emivita di un globulo rosso
Apparato Cardiovascolare;Sangue;Emocateresi e dove avviene
Apparato Cardiovascolare;Sangue;Emostasi
Apparato Cardiovascolare;Sangue;Funzione delle piastrine
Apparato Cardiovascolare;Sangue;In quale fase i globuli rossi perdono il nucleo
Apparato Cardiovascolare;Sangue;Leucopoiesi
Apparato Cardiovascolare;Sangue;Organi emopoietici
Apparato Cardiovascolare;Sangue;Organi emopoietici
Apparato Cardiovascolare;Sangue;Policitemia
Apparato Cardiovascolare;Sangue;Processi di emocateresi
Apparato Cardiovascolare;Sangue;Proteine del plasma e a cosa servono
Apparato Cardiovascolare;Sangue;Quando aumentano gli eosinofili
Apparato Cardiovascolare;Sangue;Rapporto tra ematocrito e plasma
Apparato Cardiovascolare;Sangue;Struttura dell'emoglobina
Apparato Digerente;Digerente e Intestino;Come avviene il processo di deglutizione
Apparato Digerente;Digestione e Assorbimento;Assorbimento
Apparato Digerente;Digestione e Assorbimento;Assorbimento dei carboidrati
Apparato Digerente;Digestione e Assorbimento;Assorbimento del calcio
Apparato Digerente;Digestione e Assorbimento;Assorbimento del ferro
Apparato Digerente;Digestione e Assorbimento;Assorbimento del glucosio
Apparato Digerente;Digestione e Assorbimento;Assorbimento e digestione dei carboidrati
Apparato Digerente;Digestione e Assorbimento;Digestione del glucosio e dei lipidi
Apparato Digerente;Digestione e Assorbimento;Digestione delle proteine
Apparato Digerente;Digestione e Assorbimento;Digestione delle proteine
Apparato Digerente;Digestione e Assorbimento;Digestione proteine dove inizia e dove finisce
Apparato Digerente;Digestione e Assorbimento;Dove inizia la digestione dei carboidrati
Apparato Digerente;Digestione e Assorbimento;La digestione con enzimi
Apparato Digerente;Digestione e Assorbimento;Passaggio dei carboidrati dalla cellula parietale al sangue
Apparato Digerente;Nervoso;Auerbach e Meissner
Apparato Digerente;Nervoso;Cellule di Cajal
Apparato Digerente;Nervoso;Cellule di Cajal
Apparato Digerente;Nervoso;Plesso sottomucoso
Apparato Digerente;Nervoso;SNE
Apparato Digerente;Pancreas e Fegato;Bile
Apparato Digerente;Pancreas e Fegato;Bile
Apparato Digerente;Pancreas e Fegato;Bile formazione
Apparato Digerente;Pancreas e Fegato;Bilirubina
